url	license	image_class	source	attribution	notes
https://d9-wret.s3.us-west-2.amazonaws.com/assets/palladium/production/s3fs-public/minot_centralave.jpg	PublicDomain-US-Gov	flood	usgs_media_library	Joel M. Galloway, U.S. Geological Survey. https://www.usgs.gov/media/images/central-ave-east-flooded	US ground-level. Central Ave East flooded, Minot ND, June 2011 (Souris River). PD verified on USGS page.
https://d9-wret.s3.us-west-2.amazonaws.com/assets/palladium/production/s3fs-public/thumbnails/image/313764386FRWUpC_fs.jpg	PublicDomain-US-Gov	flood	usgs_media_library	U.S. Geological Survey, New Jersey Water Science Center. https://www.usgs.gov/media/images/closed-flooding	US ground-level. Road-closed sign in flooded roadway, NJ 2005. PD verified on USGS page.
https://d9-wret.s3.us-west-2.amazonaws.com/assets/palladium/production/s3fs-public/thumbnails/image/IMG_3382.JPG	PublicDomain-US-Gov	flood	usgs_media_library	James R. Fountain, U.S. Geological Survey, Lower Mississippi-Gulf Water Science Center. https://www.usgs.gov/media/images/flooded-street-denham-springs	US ground-level. Florida Blvd flooded near Amite River Bridge, Denham Springs LA 2016. PD verified on USGS page.
https://d9-wret.s3.us-west-2.amazonaws.com/assets/palladium/production/s3fs-public/IMG_0029_0.JPG	PublicDomain-US-Gov	flood	usgs_media_library	Nicholas Stasulis, U.S. Geological Survey, New England Water Science Center. https://www.usgs.gov/media/images/flooded-road-near-usgs-gaging-station-01055500-turner-maine	US ground-level. Stop sign on School House Hill Rd, Turner ME (Nezinscot River). PD verified on USGS page.
https://d9-wret.s3.us-west-2.amazonaws.com/assets/palladium/production/s3fs-public/thumbnails/image/san-diego-fashion-valley-road-01072016-flood.JPG	PublicDomain-US-Gov	flood	usgs_media_library	Dianna Crilley, U.S. Geological Survey, California Water Science Center. https://www.usgs.gov/media/images/a-flooded-road-san-diego-ca	US ground-level. Fashion Valley Road flooded during El Nino, San Diego CA, Jan 2016. PD verified on USGS page.
https://d9-wret.s3.us-west-2.amazonaws.com/assets/palladium/production/s3fs-public/thumbnails/image/Corcoran-Lagoon-20160107-Amy-Foxgrover-LG.jpg	PublicDomain-US-Gov	flood	usgs_media_library	Amy Foxgrover, U.S. Geological Survey. https://www.usgs.gov/media/images/waves-flood-across-a-coastal-road-near-santa-cruz-california	US ground-level. Waves crossing coastal road near Santa Cruz CA, Jan 2016. PD verified on USGS page.
https://d9-wret.s3.us-west-2.amazonaws.com/assets/palladium/production/s3fs-public/IMG_0055.JPG	PublicDomain-US-Gov	flood	usgs_media_library	Kit Fuller, U.S. Geological Survey. https://www.usgs.gov/media/images/boulder-colo-flooding-east-63rd-street	US ground-level. Boulder CO flooding east of 63rd St, Sep 2013 Front Range event. PD verified on USGS page. NOTE: may show streambed rather than paved roadway - user should eyeball before including.
https://d9-wret.s3.us-west-2.amazonaws.com/assets/palladium/production/s3fs-public/media/images/Route%204%20Road%20Damage%20in%20Bridgewater%2C%20Vermont.jpg	PublicDomain-US-Gov	flood	usgs_media_library	U.S. Geological Survey, New England Water Science Center. https://www.usgs.gov/media/images/road-damage-bridgeport-vermont-after-major-flooding	US ground-level. Route 4 collapsed from flooding, Bridgewater VT, July 2023. PD verified on USGS page. NOTE: shows collapsed road (flood-damaged infrastructure) rather than water-covered pavement; still relevant.
https://d9-wret.s3.us-west-2.amazonaws.com/assets/palladium/production/s3fs-public/styles/full_width/public/thumbnails/image/Picture%20005.jpg?itok=IteiJMiD	PublicDomain-US-Gov	flood	usgs_media_library	U.S. Geological Survey, Oklahoma-Texas Water Science Center. https://www.usgs.gov/media/images/flooding-colombia-bridge-laredo-tx	US ground-level. Flooding at Colombia Bridge, Laredo TX, July 2010. PD verified on USGS page.
https://d9-wret.s3.us-west-2.amazonaws.com/assets/palladium/production/s3fs-public/101_0009.jpg	PublicDomain-US-Gov	flood	usgs_media_library	M. Huard, U.S. Geological Survey. https://www.usgs.gov/media/images/flooded-bridge-st-john-river	US ground-level. International Bridge in Fort Kent ME during 2008 St. John River flood (183000 cfs peak). PD verified on USGS page.
https://d9-wret.s3.us-west-2.amazonaws.com/assets/palladium/production/s3fs-public/media/images/Michigan_washed_out_bridge.JPG	PublicDomain-US-Gov	flood	usgs_media_library	U.S. Geological Survey, Upper Midwest Water Science Center. https://www.usgs.gov/media/images/washed-out-bridge-over-flooded-boardman-river-near-traverse-city	US ground-level. Washed-out bridge over Boardman River near Traverse City MI. PD verified on USGS page.
